example_id,family,label,chart_file,start_date,end_date,horizon,why_this_case_matters,why_this_window_length,facts_to_read,your_headline,what_claude_should_learn,extra_notes
Example 01,rain_burst_after_dry,Dry spell broken by a sharp burst,charts/rain-burst-after-dry_20210412_14d.png,12/04/21,25/04/21,14,Totals alone are misleading; the key is the sudden break after dryness.,"The story is the break, not the total.",Rain 81.1mm vs 24.8mm normal | avg high dev -1.8°C | avg low dev +0.1°C | rainy days 10 | wettest 3-day stretch 51.7mm | antecedent dry streak 51 days | record days 0,"Over 20mm rain each on 24/25 Apr, leading to sharp drop in temperatures","There is not really a ""sustained dry spell"" but the heavy rain on 23/24 is the real story here. And ther is a drop in temperature as well (compared to normal) which neesd to be highlighted",
Example 02,sustained_wet,Sustained wet stretch,charts/sustained-wet_20051001_30d.png,01/10/05,30/10/05,30,This teaches the model to recognise persistence rather than a single heavy day.,A longer window is needed so the persistence is visible.,Rain 361.0mm vs 132.6mm normal | avg high dev -0.9°C | avg low dev +0.4°C | rainy days 30 | wettest 3-day stretch 69.7mm | antecedent dry streak 0 days | record days 0,Consistently heavy rain through all of October. No dry days! Over 30mm burst on 27th led to sharp temperature drop,Real signal here is - rained every single day. And the cold bursts it produced. ,
Example 03,concentrated_rain,Rain concentrated into one short spell,charts/concentrated-rain_20130514_7d.png,14/05/13,20/05/13,7,This teaches the model not to call a window broadly wet when the rain is concentrated.,Shorter framing prevents one burst from being misread as a wet fortnight.,Rain 110.7mm vs 24.5mm normal | avg high dev +0.8°C | avg low dev +0.6°C | rainy days 3 | wettest 3-day stretch 110.6mm | antecedent dry streak 5 days | record days 0,"Extreme rain (~80mm) on May 20, coming off hot dry spell earlier in the week",First part of this data is mostly hot and dry. Then rain starts and ramps up. B ut the real story here is  very heavy rain on 20th,
Example 04,persistent_dry,Persistently dry window,charts/persistent-dry_20151012_14d.png,12/10/15,25/10/15,14,This teaches the model to treat absence of rain as a real signal.,A wider window is useful because absence is cumulative.,Rain 1.1mm vs 57.7mm normal | avg high dev +2.7°C | avg low dev +0.3°C | rainy days 1 | wettest 3-day stretch 1.0mm | antecedent dry streak 0 days | record days 9,Dry spell from 13-25 Oct. Just 1mm rain vs 58mm expected,WE highlight both the length of the dry spell and the aggregates. Makes the story more powerful ,
Example 05,hot_spell,Daytime heat spell,charts/hot-spell_20240424_14d.png,24/04/24,07/05/24,14,This teaches the model to prioritise a clear daytime heat run.,The run-length matters more than any single hottest day.,Rain 3.4mm vs 34.8mm normal | avg high dev +4.4°C | avg low dev +3.6°C | rainy days 5 | wettest 3-day stretch 2.5mm | antecedent dry streak 12 days | record days 11,Sustained heat wave for past 2 weeks - both maximum and minimum temperatures over 3 degrees over normal,Just focus on the heat story here while there is a dryness story as well.  ,
Example 06,warm_nights,Warm-night run,charts/warm-nights_20141207_14d.png,07/12/14,20/12/14,14,This teaches the model not to miss elevated night temperatures when highs are less dramatic.,This needs enough days for the night pattern to be unmistakable.,Rain 13.6mm vs 9.9mm normal | avg high dev +1.5°C | avg low dev +3.7°C | rainy days 11 | wettest 3-day stretch 7.8mm | antecedent dry streak 8 days | record days 3,"Sustained warm spell this winter, with minimum temperatures 4 degrees above normal. Rain failed to break hot spell","In Bangalore usually rain brings temperature down. Here, =despite winter raijn, tempereaatures reimained elevated and that's worth calling out ",
Example 07,cool_spell,Cool daytime spell,charts/cool-spell_20080320_14d.png,20/03/08,02/04/08,14,This teaches the model to spot sustained cool highs relative to normal.,"This is about persistent daytime coolness, not a one-day dip.",Rain 129.5mm vs 8.6mm normal | avg high dev -4.5°C | avg low dev -0.6°C | rainy days 14 | wettest 3-day stretch 43.5mm | antecedent dry streak 3 days | record days 0,Unseasonal heavy rains lead to rather cool March. Highs 5 degrees below normal, Ther is an alternate story of how March that year was rather rainy. Hardly rains in March. But t emperature is the bigger story ,
Example 08,cool_nights,Cool-night run,charts/cool-nights_20081026_14d.png,26/10/08,08/11/08,14,This teaches the model to separate cool nights from cool days.,The window is chosen to preserve the night-time pattern.,Rain 1.8mm vs 54.7mm normal | avg high dev +0.9°C | avg low dev -3.6°C | rainy days 1 | wettest 3-day stretch 1.8mm | antecedent dry streak 0 days | record days 9,Cold nights and no rain since Oct27. Lows 3.5 degr below expected. ,"Both the cold and the dryness are strong stories for this eime of the year, b u the cold is the more interesting story",
Example 09,record_cluster,Record-heavy patch,charts/record-cluster_20161115_14d.png,15/11/16,28/11/16,14,This teaches the model to foreground records when they cluster.,The record cluster is the editorial hook.,Rain 0.6mm vs 25.8mm normal | avg high dev +3.8°C | avg low dev -0.1°C | rainy days 2 | wettest 3-day stretch 0.6mm | antecedent dry streak 2 days | record days 14,Record high temperatures (4 degrees above normal) for the last 14 days. Hot  and dry November! , The number of days of records is interesing here. When it is close to the overall number of days it takes precedence in terms of the sotry. ,
Example 10,wet_month_build,Wet month building through accumulation,charts/wet-month-build_20151103_30d.png,03/11/15,02/12/15,30,This teaches the model that some stories are cumulative and need a month-long frame.,A 30-day view is needed because the anomaly accumulates.,Rain 371.5mm vs 56.6mm normal | avg high dev -0.8°C | avg low dev +2.1°C | rainy days 25 | wettest 3-day stretch 169.8mm | antecedent dry streak 0 days | record days 1,"Wet November, primarily driven by deluge on 15/16. 370mm rain vs 57mm expected",This is not sustained. The main story is that ther are 2 days that really contributed to the wet patch. So it's not an accumulation storyy here. ,
